Symbol,Date,Open,High,Low,Close
KSE-100,03-Jul-17,46523.33,46523.33,44639.82,44665.41
KSE-100,04-Jul-17,44610.69,45686.49,44328.2,45394.06
KSE-100,05-Jul-17,45408.68,46359.91,45149.49,45413.42
KSE-100,06-Jul-17,45385.9,45579.95,44559.04,44823.11
KSE-100,07-Jul-17,44819.65,45301.38,44549.45,45222.15
KSE-100,10-Jul-17,45133.46,46332.35,44710.24,46273.81
KSE-100,11-Jul-17,45278.17,45278.17,44117.17,44120.58
KSE-100,12-Jul-17,43746.75,44214.87,43027.15,43792.19
KSE-100,13-Jul-17,43777.62,44122.18,43059.89,43783.55
KSE-100,14-Jul-17,43806.39,44466.28,43694.62,44337.44
KSE-100,17-Jul-17,44274.93,44630.07,43975.12,44523.21
KSE-100,18-Jul-17,44517.52,45669.06,44517.06,45636.36
KSE-100,19-Jul-17,45651.26,45808.8,45297.15,45418.71
KSE-100,20-Jul-17,45481.22,46093.68,44967.81,45059.93
KSE-100,21-Jul-17,44975.2,45389.18,44548.36,45294.39
KSE-100,24-Jul-17,45366.3,45566.74,45270.89,45529.21
KSE-100,25-Jul-17,45570.34,45940.05,45499.23,45917.9
KSE-100,26-Jul-17,46031.54,46106.72,45857.92,45908.39
KSE-100,27-Jul-17,45934.13,46025.88,45758.07,45905.76
KSE-100,28-Jul-17,44989.88,46060.55,44235.94,45912.03
KSE-100,31-Jul-17,46334.55,47111.54,45911.74,46010.45
KSE-100,01-Aug-17,46071.7,46623.91,46064.75,46533.43
KSE-100,02-Aug-17,46690.3,46990.41,46690.3,46949.04
KSE-100,03-Aug-17,47017.76,47167.63,46857.45,47084.34
KSE-100,04-Aug-17,47121.41,47242.35,46833.07,46877.37
KSE-100,07-Aug-17,46892.24,46929.2,46336.66,46465.66
KSE-100,08-Aug-17,46535.78,46535.78,45905.02,45979.7
KSE-100,09-Aug-17,46010.39,46101.66,45591.38,45998.81
KSE-100,10-Aug-17,46024.13,46213.14,45572.11,45634.02
KSE-100,11-Aug-17,45625.14,45625.14,45261.25,45288.49
KSE-100,15-Aug-17,45331.16,45419.52,43814.82,43899.45
KSE-100,16-Aug-17,43912.92,44332.51,43779.85,44186.96
KSE-100,17-Aug-17,44216.97,44257.77,43044.12,43136.06
KSE-100,18-Aug-17,43133.88,43187.09,42347.19,43078.38
KSE-100,21-Aug-17,43110.92,43135.01,42016.87,42153.38
KSE-100,22-Aug-17,42073.08,42291.15,41062.73,41983.16
KSE-100,23-Aug-17,42000.35,42949.9,41927.22,42910.79
KSE-100,24-Aug-17,42966.24,43173.79,42136.17,42268.62
KSE-100,25-Aug-17,42211.84,42784.72,41835.74,42641.75
KSE-100,28-Aug-17,42468.78,42599.26,41820.02,41974.22
KSE-100,29-Aug-17,41782.33,41803.39,41046.17,41233.08
KSE-100,30-Aug-17,41046.29,41559.36,41046.29,41323.65
KSE-100,31-Aug-17,41199.85,41363.62,40841.67,41206.99
KSE-100,05-Sep-17,41109.65,41833.7,41070.99,41779.2
KSE-100,06-Sep-17,41846.18,42054.07,41324.61,41389.99
KSE-100,07-Sep-17,41346.46,41479.36,40686.09,40958.65
KSE-100,08-Sep-17,41227.88,41635.74,41169.21,41401.02
KSE-100,11-Sep-17,41534.69,41553.45,41062,41126.83
KSE-100,12-Sep-17,41265.57,41411.73,41024.54,41279.3
KSE-100,13-Sep-17,41407.04,42346.23,41398.84,42310.12
KSE-100,14-Sep-17,42392.65,42737.73,42167.66,42683.57
KSE-100,15-Sep-17,42700.14,43016.29,42538.05,42787.19
KSE-100,18-Sep-17,42833.86,42924.93,42489.69,42841.41
KSE-100,19-Sep-17,42889.52,43297.41,42889.52,43253.26
KSE-100,20-Sep-17,43309.42,43435.92,43144.89,43347.03
KSE-100,21-Sep-17,43338.68,43386.73,42701.88,42775.04
KSE-100,22-Sep-17,42771.66,42921.13,42571.3,42750.19
KSE-100,25-Sep-17,42815.23,43089.37,42627.49,42743.65
KSE-100,26-Sep-17,42844.8,42957.71,42599.64,42666.23
KSE-100,27-Sep-17,42563.19,42618.71,42101.55,42290.15
KSE-100,28-Sep-17,42291.44,42456.87,42192.55,42362.87
KSE-100,29-Sep-17,42391,42544.11,42286.6,42409.27
KSE-100,02-Oct-17,42431.54,42438.48,41944.31,42018.9
KSE-100,03-Oct-17,42043.21,42043.21,41025.28,41115.78
KSE-100,04-Oct-17,41092.66,41180.88,39869.88,40461
KSE-100,05-Oct-17,40545.27,40819.91,40036.23,40468.49
KSE-100,06-Oct-17,40494.58,41349.72,40494.58,41312.59
KSE-100,09-Oct-17,41334.5,41339.38,41004.32,41099.99
KSE-100,10-Oct-17,41109.73,41112.27,40287.26,40610.72
KSE-100,11-Oct-17,40639.75,40777.42,40315.02,40503.68
KSE-100,12-Oct-17,40558.74,40792.06,39834.1,40237.53
KSE-100,13-Oct-17,40236.92,40236.92,39478.05,39846.78
KSE-100,16-Oct-17,39978.4,40813.53,39978.4,40791.39
KSE-100,17-Oct-17,40892.36,41354.68,40691.71,40724.96
KSE-100,18-Oct-17,40760.07,40872.48,40224.2,40733.45
KSE-100,19-Oct-17,40826.57,41614.28,40823.41,41558.07
KSE-100,20-Oct-17,41687.59,42161.13,41471.24,42087.89
KSE-100,23-Oct-17,42148.54,42161.8,41414.12,41483.54
KSE-100,24-Oct-17,41446.6,41458.53,40913.93,41291.68
KSE-100,25-Oct-17,41305.3,41626.86,41294.66,41595.32
KSE-100,26-Oct-17,41637.09,41746.13,41355.45,41409.49
KSE-100,27-Oct-17,41412.68,41434.45,40903.7,41105.4
KSE-100,30-Oct-17,41168.19,41173.39,40258.58,40324.32
KSE-100,31-Oct-17,40302.72,40309.07,39556.56,39617.19
KSE-100,01-Nov-17,39662.8,40558.97,39656.82,40453.64
KSE-100,02-Nov-17,40508.89,40842.25,40350.29,40498.87
KSE-100,03-Nov-17,40506.92,41127.44,40449.97,41064
KSE-100,06-Nov-17,41160.67,41232.66,40928.27,41030.77
KSE-100,07-Nov-17,41120.12,41262.45,41003.05,41049.22
KSE-100,08-Nov-17,41037.59,41293.99,40967.72,41259.16
KSE-100,09-Nov-17,41403.17,41851.33,41390.34,41790.16
KSE-100,10-Nov-17,41836.35,41836.35,41390.38,41435.7
KSE-100,13-Nov-17,41413.79,41413.79,41141.52,41239.89
KSE-100,14-Nov-17,41202.55,41317.43,40899.5,40943.78
KSE-100,15-Nov-17,40814.42,40905.31,40585.54,40662.79
KSE-100,16-Nov-17,40705.44,40886.03,40687.74,40813.31
KSE-100,17-Nov-17,40832.14,40910.76,40637.15,40844.4
KSE-100,20-Nov-17,40843.94,40925.05,40258.33,40316.93
KSE-100,21-Nov-17,40353.11,40603.55,40269.32,40548.83
KSE-100,22-Nov-17,40643.09,40741.91,40465.52,40591.87
KSE-100,23-Nov-17,40626,40712.67,40136.06,40266.21
KSE-100,24-Nov-17,40276.63,40368.35,40082.7,40248.41
KSE-100,27-Nov-17,40152.72,40152.72,39931.74,40032.17
KSE-100,28-Nov-17,40060.49,40125.75,39564.27,39634.13
KSE-100,29-Nov-17,39647.23,39760.5,39462.71,39672.89
KSE-100,30-Nov-17,39706.17,40091.48,39706.17,40010.36
KSE-100,04-Dec-17,40048.76,40131.37,39931.52,40049.8
KSE-100,05-Dec-17,40072.17,40085.55,39892.04,39945.41
KSE-100,06-Dec-17,39960.06,40062.62,39825.23,39907.32
KSE-100,07-Dec-17,39880.82,39880.82,38769.09,38784.66
KSE-100,08-Dec-17,38645.26,39339.65,38431.78,39080
KSE-100,11-Dec-17,39059.48,39437.89,38374.39,38481.7
KSE-100,12-Dec-17,38504.71,38620.66,37736.46,38525.11
KSE-100,13-Dec-17,38588.04,38884.89,38527.62,38819.65
KSE-100,14-Dec-17,38825.74,38825.74,38126.85,38223.55
KSE-100,15-Dec-17,38214.21,38924.25,38192.58,38645.9
KSE-100,18-Dec-17,38660.09,38703.15,38337.37,38383.97
KSE-100,19-Dec-17,38418.88,38443.12,37767.45,37919.42
KSE-100,20-Dec-17,37963.09,38323.91,37841.86,38208.06
KSE-100,21-Dec-17,38216.76,38793.99,38014.84,38715.77
KSE-100,22-Dec-17,38770.46,39525.21,38710.01,39470.89
KSE-100,26-Dec-17,39524.24,39719.13,39292.98,39525.75
KSE-100,27-Dec-17,39614.37,40162.4,39614.37,40146.73
KSE-100,28-Dec-17,40235.08,40463.66,40031.19,40371.31
KSE-100,29-Dec-17,40400.82,40644.74,40271.18,40471.48
KSE-100,01-Jan-18,40470.44,40815.96,40169.14,40711.04
KSE-100,02-Jan-18,40676.19,41566.76,40532.97,41486.87
KSE-100,03-Jan-18,41539.93,41820.31,41289.17,41544.27
KSE-100,04-Jan-18,41600.4,41995.66,41600.4,41908.71
KSE-100,05-Jan-18,41876.62,42584.96,41821.5,42523.99
KSE-100,08-Jan-18,42634.49,43261.83,42634.49,43112.12
KSE-100,09-Jan-18,43188.71,43252.5,42563.86,42814.34
KSE-100,10-Jan-18,42888.33,43659.45,42884.84,43630.74
KSE-100,11-Jan-18,43693.6,43824.29,43140.94,43395.28
KSE-100,12-Jan-18,43426.86,43436.39,42753.19,42933.72
KSE-100,15-Jan-18,42891.16,42897.77,42270.1,42347.49
KSE-100,16-Jan-18,42358.99,43145.8,42324.2,42939.68
KSE-100,17-Jan-18,42936.43,43386.27,42874.39,43358.97
KSE-100,18-Jan-18,43626.06,44004.21,43192.38,43580.88
KSE-100,19-Jan-18,43647.33,44203.13,43613,44178.83
KSE-100,22-Jan-18,44225.24,44951.21,44121.97,44897.69
KSE-100,23-Jan-18,44934.35,44970.78,44465.31,44907.2
KSE-100,24-Jan-18,45037.35,45496.84,44780.86,45063.21
KSE-100,25-Jan-18,45091.24,45182.57,44728.76,44816.71
KSE-100,26-Jan-18,44825.78,44826.33,44190.58,44551.13
KSE-100,29-Jan-18,44724.44,44858.19,44337.33,44457.3
